customer_id,rec,frec,val_mon
CS1358,12.0,7,423
CS1359,21.0,6,428
CS1360,43.0,5,390
CS1361,18.0,4,278
CS1362,7.0,10,674
CS1363,202.0,4,313
CS1364,67.0,6,423
CS1365,18.0,5,370
CS1366,28.0,6,472
CS1367,68.0,5,329
CS1368,5.0,5,334
CS1369,47.0,5,316
CS1370,142.0,6,452
CS1371,160.0,4,361
CS1372,279.0,1,47
CS1373,86.0,12,815
CS1374,165.0,2,133
CS1375,128.0,3,199
CS1376,35.0,5,359
CS1377,144.0,1,84
CS1378,26.0,4,333
CS1379,137.0,3,208
CS1380,17.0,6,431
CS1382,5.0,5,402
CS1383,116.0,6,427
CS1384,13.0,6,305
CS1385,6.0,7,492
CS1386,72.0,4,229
CS1387,128.0,4,205
CS1388,31.0,6,401
CS1389,20.0,6,405
CS1390,45.0,6,380
CS1391,5.0,4,299
CS1392,75.0,6,368
CS1393,100.0,6,554
CS1394,6.0,6,394
CS1395,15.0,5,433
CS1396,32.0,9,621
CS1397,167.0,6,425
CS1398,30.0,9,597
CS1399,24.0,11,882
CS1400,77.0,6,343
CS1401,15.0,8,527
CS1402,31.0,7,562
CS1403,44.0,6,481
CS1404,51.0,7,478
CS1405,20.0,7,561
CS1406,15.0,7,515
CS1407,14.0,8,556
CS1408,242.0,2,101
CS1409,87.0,6,339
CS1410,60.0,6,450
CS1411,57.0,5,402
CS1412,16.0,8,591
CS1413,60.0,4,294
CS1414,154.0,5,321
CS1415,75.0,4,206
CS1416,13.0,6,494
CS1417,51.0,2,161
CS1418,151.0,4,289
CS1419,1.0,9,677
CS1420,82.0,8,673
CS1421,60.0,3,226
CS1422,6.0,5,378
CS1423,56.0,6,360
CS1424,11.0,8,622
CS1425,72.0,7,536
CS1426,22.0,6,403
CS1427,8.0,4,302
CS1428,86.0,9,799
CS1429,133.0,3,234
CS1430,14.0,3,233
CS1431,13.0,3,199
CS1432,4.0,4,358
CS1433,40.0,6,443
CS1434,12.0,11,698
CS1435,47.0,4,219
CS1436,60.0,6,394
CS1437,29.0,3,233
CS1438,37.0,3,255
CS1439,35.0,2,180
CS1440,102.0,6,370
CS1441,69.0,7,529
CS1442,9.0,8,481
CS1443,54.0,6,470
CS1444,36.0,5,355
CS1445,3.0,6,410
CS1446,14.0,4,257
