,Depth,Temperature,Cast,Cruise,Latitude,Longitude,Day,Month,Year,Ts
64,325.0,16.9,3679613,GB-0           ,19.22,-86.87,8,10,1981,19.13471698
65,350.0,16.4,3679613,GB-0           ,19.22,-86.87,8,10,1981,19.13471698
66,375.0,16.0,3679613,GB-0           ,19.22,-86.87,8,10,1981,19.13471698
67,400.0,15.5,3679613,GB-0           ,19.22,-86.87,8,10,1981,19.13471698
68,425.0,14.7,3679613,GB-0           ,19.22,-86.87,8,10,1981,19.13471698
69,450.0,14.0,3679613,GB-0           ,19.22,-86.87,8,10,1981,19.13471698
70,0.0,29.1,3679603,GB-0           ,20.5,-86.47,7,10,1981,23.02679245
71,53.0,29.1,3679603,GB-0           ,20.5,-86.47,7,10,1981,23.02679245
72,86.0,28.4,3679603,GB-0           ,20.5,-86.47,7,10,1981,23.02679245
73,104.0,27.8,3679603,GB-0           ,20.5,-86.47,7,10,1981,23.02679245
74,136.0,25.6,3679603,GB-0           ,20.5,-86.47,7,10,1981,23.02679245
75,159.0,23.9,3679603,GB-0           ,20.5,-86.47,7,10,1981,23.02679245
76,173.0,23.1,3679603,GB-0           ,20.5,-86.47,7,10,1981,23.02679245
77,182.0,22.2,3679603,GB-0           ,20.5,-86.47,7,10,1981,23.02679245
78,234.0,19.8,3679603,GB-0           ,20.5,-86.47,7,10,1981,23.02679245
79,322.0,16.9,3679603,GB-0           ,20.5,-86.47,7,10,1981,23.02679245
80,374.0,15.7,3679603,GB-0           ,20.5,-86.47,7,10,1981,23.02679245
81,455.0,13.3,3679603,GB-0           ,20.5,-86.47,7,10,1981,23.02679245
82,478.0,12.5,3679603,GB-0           ,20.5,-86.47,7,10,1981,23.02679245
83,0.0,26.5,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
84,5.0,26.5,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
85,10.0,26.5,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
86,15.0,26.5,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
87,20.0,26.5,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
88,25.0,26.5,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
89,30.0,26.4,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
90,35.0,26.4,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
91,40.0,26.4,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
92,45.0,26.4,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
93,50.0,26.4,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
94,55.0,26.4,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
95,60.0,26.4,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
96,65.0,26.4,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
97,70.0,26.4,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
98,75.0,26.4,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
99,80.0,26.4,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
100,85.0,26.4,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
101,90.0,26.4,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
102,95.0,26.2,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
103,100.0,25.8,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
104,125.0,23.7,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
105,150.0,21.8,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
106,175.0,20.3,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
107,200.0,18.5,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
108,225.0,17.6,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
109,250.0,16.6,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
110,275.0,15.7,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
111,300.0,14.8,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
112,325.0,13.9,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
113,350.0,13.3,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
114,375.0,12.7,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
115,400.0,12.0,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
116,425.0,11.4,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
117,450.0,10.7,3681827,GB-0           ,19.58,-86.48,21,12,1981,19.59773585
118,1.0,26.4,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
119,69.0,26.3,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
120,81.0,25.8,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
121,90.0,25.4,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
122,104.0,24.1,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
123,110.0,23.4,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
124,152.0,21.1,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
125,165.0,19.8,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
126,171.0,19.6,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
127,187.0,18.7,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
128,214.0,17.9,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
129,308.0,16.0,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
130,311.0,15.7,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
131,324.0,15.1,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
132,373.0,13.8,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
133,396.0,13.4,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
134,455.0,11.7,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
135,479.0,11.2,3681828,GB-0           ,21.2,-86.0,21,12,1981,21.40910714
185,39.91,25.95,10268700,99-0           ,21.48,-86.38,11,2,1982,24.128
186,49.58,23.84,10268700,99-0           ,21.48,-86.38,11,2,1982,24.128
187,134.03,20.62,10268700,99-0           ,21.48,-86.38,11,2,1982,24.128
188,159.54,17.74,10268700,99-0           ,21.48,-86.38,11,2,1982,24.128
189,211.41,15.57,10268700,99-0           ,21.48,-86.38,11,2,1982,24.128
190,253.54,14.14,10268700,99-0           ,21.48,-86.38,11,2,1982,24.128
191,285.01,13.58,10268700,99-0           ,21.48,-86.38,11,2,1982,24.128
192,314.29,12.64,10268700,99-0           ,21.48,-86.38,11,2,1982,24.128
193,43.13,26.34,10268703,99-0           ,21.47,-86.5,11,2,1982,23.14234043
194,46.36,24.45,10268703,99-0           ,21.47,-86.5,11,2,1982,23.14234043
195,65.67,22.56,10268703,99-0           ,21.47,-86.5,11,2,1982,23.14234043
196,105.24,21.06,10268703,99-0           ,21.47,-86.5,11,2,1982,23.14234043
197,111.64,20.62,10268703,99-0           ,21.47,-86.5,11,2,1982,23.14234043
198,137.21,20.35,10268703,99-0           ,21.47,-86.5,11,2,1982,23.14234043
199,153.16,20.35,10268703,99-0           ,21.47,-86.5,11,2,1982,23.14234043
200,49.59,26.55,10268704,99-0           ,20.98,-86.57,11,2,1982,23.8055102
201,105.3,23.34,10268704,99-0           ,20.98,-86.57,11,2,1982,23.8055102
202,137.3,21.84,10268704,99-0           ,20.98,-86.57,11,2,1982,23.8055102
203,198.86,18.85,10268704,99-0           ,20.98,-86.57,11,2,1982,23.8055102
204,230.54,17.35,10268704,99-0           ,20.98,-86.57,11,2,1982,23.8055102
205,263.16,15.35,10268704,99-0           ,20.98,-86.57,11,2,1982,23.8055102
206,327.0,13.14,10268704,99-0           ,20.98,-86.57,11,2,1982,23.8055102
207,377.93,11.86,10268704,99-0           ,20.98,-86.57,11,2,1982,23.8055102
208,399.67,10.86,10268704,99-0           ,20.98,-86.57,11,2,1982,23.8055102
209,81.78,25.84,10268705,99-0           ,20.8,-86.6,11,2,1982,23.8692
210,105.32,25.23,10268705,99-0           ,20.8,-86.6,11,2,1982,23.8692
211,124.53,23.95,10268705,99-0           ,20.8,-86.6,11,2,1982,23.8692
212,146.9,21.73,10268705,99-0           ,20.8,-86.6,11,2,1982,23.8692
213,189.36,16.85,10268705,99-0           ,20.8,-86.6,11,2,1982,23.8692
214,263.2,16.07,10268705,99-0           ,20.8,-86.6,11,2,1982,23.8692
215,323.91,14.25,10268705,99-0           ,20.8,-86.6,11,2,1982,23.8692
216,345.79,12.25,10268705,99-0           ,20.8,-86.6,11,2,1982,23.8692
217,418.31,11.58,10268705,99-0           ,20.8,-86.6,11,2,1982,23.8692
218,465.61,10.86,10268705,99-0           ,20.8,-86.6,11,2,1982,23.8692
219,512.63,9.64,10268705,99-0           ,20.8,-86.6,11,2,1982,23.8692
243,101.34,26.44,10268709,99-0           ,20.95,-86.28,11,2,1982,23.76653061
244,119.74,25.44,10268709,99-0           ,20.95,-86.28,11,2,1982,23.76653061
245,156.52,21.94,10268709,99-0           ,20.95,-86.28,11,2,1982,23.76653061
246,175.93,20.94,10268709,99-0           ,20.95,-86.28,11,2,1982,23.76653061
247,221.89,19.45,10268709,99-0           ,20.95,-86.28,11,2,1982,23.76653061
248,268.87,17.23,10268709,99-0           ,20.95,-86.28,11,2,1982,23.76653061
249,458.67,12.24,10268709,99-0           ,20.95,-86.28,11,2,1982,23.76653061
250,473.96,11.46,10268709,99-0           ,20.95,-86.28,11,2,1982,23.76653061
251,660.47,7.85,10268709,99-0           ,20.95,-86.28,11,2,1982,23.76653061
252,763.3,5.96,10268709,99-0           ,20.95,-86.28,11,2,1982,23.76653061
253,101.34,26.44,10268711,99-0           ,21.0,-86.1,12,2,1982,25.07313725
254,132.0,25.72,10268711,99-0           ,21.0,-86.1,12,2,1982,25.07313725
255,175.93,20.94,10268711,99-0           ,21.0,-86.1,12,2,1982,25.07313725
256,253.55,17.67,10268711,99-0           ,21.0,-86.1,12,2,1982,25.07313725
257,328.08,15.73,10268711,99-0           ,21.0,-86.1,12,2,1982,25.07313725
258,346.45,15.34,10268711,99-0           ,21.0,-86.1,12,2,1982,25.07313725
259,473.97,12.18,10268711,99-0           ,21.0,-86.1,12,2,1982,25.07313725
260,477.03,10.24,10268711,99-0           ,21.0,-86.1,12,2,1982,25.07313725
261,695.09,8.35,10268711,99-0           ,21.0,-86.1,12,2,1982,25.07313725
262,763.3,7.74,10268711,99-0           ,21.0,-86.1,12,2,1982,25.07313725
263,63.52,26.33,10268712,99-0           ,21.08,-85.88,12,2,1982,23.99078431
264,101.34,26.16,10268712,99-0           ,21.08,-85.88,12,2,1982,23.99078431
265,131.99,25.66,10268712,99-0           ,21.08,-85.88,12,2,1982,23.99078431
266,221.88,19.45,10268712,99-0           ,21.08,-85.88,12,2,1982,23.99078431
267,294.37,17.95,10268712,99-0           ,21.08,-85.88,12,2,1982,23.99078431
268,405.6,15.95,10268712,99-0           ,21.08,-85.88,12,2,1982,23.99078431
269,452.53,13.67,10268712,99-0           ,21.08,-85.88,12,2,1982,23.99078431
270,539.19,11.46,10268712,99-0           ,21.08,-85.88,12,2,1982,23.99078431
271,613.59,9.46,10268712,99-0           ,21.08,-85.88,12,2,1982,23.99078431
272,743.95,7.57,10268712,99-0           ,21.08,-85.88,12,2,1982,23.99078431
349,0.0,27.11,13341662,99-0           ,21.0167,-86.0333,12,2,1982,24.5536
350,73.2,26.89,13341662,99-0           ,21.0167,-86.0333,12,2,1982,24.5536
351,100.6,26.5,13341662,99-0           ,21.0167,-86.0333,12,2,1982,24.5536
352,118.9,26.22,13341662,99-0           ,21.0167,-86.0333,12,2,1982,24.5536
353,149.4,22.89,13341662,99-0           ,21.0167,-86.0333,12,2,1982,24.5536
354,179.8,21.72,13341662,99-0           ,21.0167,-86.0333,12,2,1982,24.5536
355,329.2,16.39,13341662,99-0           ,21.0167,-86.0333,12,2,1982,24.5536
356,365.8,16.0,13341662,99-0           ,21.0167,-86.0333,12,2,1982,24.5536
357,381.0,15.11,13341662,99-0           ,21.0167,-86.0333,12,2,1982,24.5536
358,429.8,13.78,13341662,99-0           ,21.0167,-86.0333,12,2,1982,24.5536
359,545.6,10.61,13341662,99-0           ,21.0167,-86.0333,12,2,1982,24.5536
360,630.9,7.39,13341662,99-0           ,21.0167,-86.0333,12,2,1982,24.5536
389,0.0,24.0,13341757,99-0           ,20.8667,-86.5667,10,3,1982,22.89169811
390,9.1,22.28,13341757,99-0           ,20.8667,-86.5667,10,3,1982,22.89169811
391,61.0,22.22,13341757,99-0           ,20.8667,-86.5667,10,3,1982,22.89169811
392,70.1,20.39,13341757,99-0           ,20.8667,-86.5667,10,3,1982,22.89169811
393,79.2,20.5,13341757,99-0           ,20.8667,-86.5667,10,3,1982,22.89169811
394,82.3,21.61,13341757,99-0           ,20.8667,-86.5667,10,3,1982,22.89169811
395,91.4,21.72,13341757,99-0           ,20.8667,-86.5667,10,3,1982,22.89169811
396,100.6,20.11,13341757,99-0           ,20.8667,-86.5667,10,3,1982,22.89169811
397,115.8,20.0,13341757,99-0           ,20.8667,-86.5667,10,3,1982,22.89169811
398,210.3,17.0,13341757,99-0           ,20.8667,-86.5667,10,3,1982,22.89169811
399,310.9,14.0,13341757,99-0           ,20.8667,-86.5667,10,3,1982,22.89169811
400,414.5,11.11,13341757,99-0           ,20.8667,-86.5667,10,3,1982,22.89169811
401,460.2,11.0,13341757,99-0           ,20.8667,-86.5667,10,3,1982,22.89169811
701,55.0,27.24,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
702,88.0,26.05,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
703,111.0,25.73,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
704,141.0,24.94,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
705,180.0,22.89,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
706,211.0,20.86,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
707,229.0,20.31,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
708,252.0,19.07,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
709,266.0,17.87,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
710,273.0,17.52,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
711,330.0,16.22,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
712,401.0,13.27,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
713,422.0,12.57,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
714,442.0,12.12,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
715,464.0,12.03,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
716,473.0,11.62,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
717,542.0,10.21,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
718,624.0,9.01,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
719,648.0,8.24,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
720,732.0,7.3,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
721,748.0,6.83,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
722,772.0,6.51,2711247,US-54855       ,21.107,-85.933,14,5,1982,20.4772093
723,50.0,27.3,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
724,66.0,26.67,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
725,98.0,25.94,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
726,116.0,25.21,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
727,132.0,24.84,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
728,156.0,23.66,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
729,183.0,21.67,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
730,208.0,20.16,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
731,220.0,19.66,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
732,230.0,18.97,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
733,266.0,17.22,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
734,282.0,16.97,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
735,294.0,16.62,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
736,310.0,15.82,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
737,336.0,14.97,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
738,347.0,14.82,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
739,372.0,13.67,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
740,395.0,13.17,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
741,431.0,11.52,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
742,461.0,10.86,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
743,509.0,10.31,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
744,551.0,9.32,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
745,579.0,9.06,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
746,583.0,8.75,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
747,604.0,8.34,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
748,637.0,8.24,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
749,683.0,7.09,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
750,710.0,6.88,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
751,724.0,6.51,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
752,773.0,6.2,2711245,US-54855       ,21.09,-86.0,14,5,1982,19.90068182
753,50.0,27.35,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
754,56.0,27.24,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
755,70.0,26.41,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
756,81.0,26.05,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
757,113.0,25.58,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
758,123.0,25.26,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
759,140.0,24.12,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
760,148.0,23.91,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
761,161.0,23.19,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
762,188.0,21.01,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
763,212.0,19.76,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
764,224.0,19.46,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
